"","Proteome.ID","Pathogen","0","1","2","3"
"1","UP000180764","Adenoassociated virus 2",1,1,1.04651162790698,0.904897090134847
"2","UP000119554","Aichi virus",1,1.2,1.84357541899441,0.86271567891973
"3","UP000006934","Australian bat lyssavirus",1,1,0.744416873449132,0.424028268551237
"4","UP000000832","Banna virus",1,0.996677740863787,1.09660574412533,0.566878121203941
"5","UP000007609","Barmah forest virus",1,1,1.27478753541076,0.738840430990251
"6","UP000145981","BK polyomavirus",1,1,1.33757961783439,0.698992443324937
"7","UP000002476","Bunyamwera virus",1,0.996677740863787,0.757575757575758,0.4725
"8","UP000008768","Bunyavirus La Crosse",1,1,0.87719298245614,0.617597292724196
"9","UP000150053","Bunyavirus snowshoe hare",1,0.99009900990099,0.845070422535211,0.641488475423494
"10","UP000137988","Cercopithecine alphaherpesvirus 2",1,2.43619489559165,1.33774453394707,0.589880235497227
"11","UP000008448","Chandipura virus",1,0.993377483443709,0.873015873015873,0.442438917015188
"12","UP000000569","Chikungunya virus",1,1,1.03151862464183,0.832049306625578
"13","UP000029753","Cosavirus A",1,0.986842105263158,1.10481586402266,0.875816993464052
"14","UP000152733","Cowpox virus",15.7,32.4375,14.3497428361499,1.17549464320384
"15","UP000007757","Coxsackievirus A16",1,1,0.900900900900901,0.590361445783133
"16","UP000008767","Crimean-Congo hemorrhagic fever virus",1,1,0.835266821345708,0.681329189576859
"17","UP000002500","Dengue virus type 1",1,0.993377483443709,0.835654596100279,0.623931623931624
"18","UP000181622","Dhori virus (Thogotovirus dhoriense)",1,1,1.04651162790698,0.518774703557312
"19","UP000000278","Dugbe virus",1,1,0.810810810810811,0.612923076923077
"20","UP000117552","Duvenhage virus",1,1,0.728155339805825,0.366056572379368
"21","UP000110644","Eastern equine encephalitis virus",1,1,0.842696629213483,0.73346116970278
"22","UP000007209","Zaire ebolavirus",1,0.996677740863787,0.551470588235294,0.498862990335418
"23","UP000000670","Echovirus 23",1,1,1.0410094637224,0.533707865168539
"24","UP000002319","Encephalomyocarditis virus",1,1,1.04956268221574,0.714801444043321
"25","UP000153037","Epstein-Barr virus",12.156862745098,4.12262156448203,0.4352295292606,0.196829040639742
"26","UP000008926","European bat lyssavirus 1",1,1,0.712589073634204,0.497017892644135
"27","UP000008627","Hantaan virus",1,1,1.18181818181818,0.625
"28","UP000008771","Hendra virus",1,1,0.72992700729927,0.566884176182708
"29","UP000006724","Human hepatitis A virus genotype IB",1,0.993377483443709,0.900900900900901,0.457227138643068
"30","UP000008591","Hepatitis B virus genotype C subtype ayr",1,1.19601328903654,2.96875,0.96398891966759
"31","UP000000518","Hepatitis C virus genotype 1a",1,0.993377483443709,1.56398104265403,0.806080961640446
