"","Proteome.ID","Pathogen","0","1","2","3"
"1","UP000180764","Adenoassociated virus 2",1,1,1.11111111111111,0.434412265758092
"2","UP000119554","Aichi virus",1,1.16129032258065,0.58458813108946,0.193744033245353
"3","UP000006934","Australian bat lyssavirus",1,1,0.806451612903226,0.361650028253908
"4","UP000000832","Banna virus",1,1,0.895522388059702,0.507491541807637
"5","UP000007609","Barmah forest virus",1,1,0.963597430406852,0.487557135601828
"6","UP000145981","BK polyomavirus",1,1,1.25,0.676829268292683
"7","UP000002476","Bunyamwera virus",1,0.993377483443709,0.808625336927224,0.455751145406318
"8","UP000008768","Bunyavirus La Crosse",1,0.99009900990099,0.744416873449132,0.49502712477396
"9","UP000150053","Bunyavirus snowshoe hare",1,1,0.721153846153846,0.594594594594595
"10","UP000137988","Cercopithecine alphaherpesvirus 2",0.993377483443709,1.66931637519873,0.574996908618771,0.318999952479853
"11","UP000008448","Chandipura virus",1,1,0.481751824817518,0.197097470092175
"12","UP000000569","Chikungunya virus",1,0.852272727272727,0.583468395461913,0.620689655172414
"13","UP000029753","Cosavirus A",1,1,1.14035087719298,0.707995773159563
"14","UP000152733","Cowpox virus",3.91196013289037,1.32431742791528,0.585361467449946,0.350071223199315
"15","UP000007757","Coxsackievirus A16",1,1,0.87463556851312,0.476499189627229
"16","UP000008767","Crimean-Congo hemorrhagic fever virus",1,0.993377483443709,0.642857142857143,0.572576594676042
"17","UP000002500","Dengue virus type 1",1,0.993377483443709,0.779220779220779,0.528730082085949
"18","UP000181622","Dhori virus (Thogotovirus dhoriense)",1,0.993377483443709,1.03151862464183,0.43254376930999
"19","UP000000278","Dugbe virus",1,0.993377483443709,0.76271186440678,0.557858183040215
"20","UP000117552","Duvenhage virus",1,1,0.77319587628866,0.363102879149092
"21","UP000110644","Eastern equine encephalitis virus",1,0.952380952380952,0.68649885583524,0.615446500402253
"22","UP000007209","Zaire ebolavirus",1,0.980392156862745,0.612244897959184,0.473812095032397
"23","UP000000670","Echovirus 23",1,1,0.932203389830508,0.406417112299465
"24","UP000002319","Encephalomyocarditis virus",1,1,1.08433734939759,0.591221260077635
"25","UP000153037","Epstein-Barr virus",0.0400961445185768,0.0215495806120081,0.0137601058856028,0.0225251666953754
"26","UP000008926","European bat lyssavirus 1",1,1,0.831024930747922,0.442390876917027
"27","UP000008627","Hantaan virus",1,1,1.02362204724409,0.548422198041349
"28","UP000008771","Hendra virus",1,1,0.717703349282297,0.486013986013986
"29","UP000006724","Human hepatitis A virus genotype IB",1,1,0.87719298245614,0.380212591986917
"30","UP000008591","Hepatitis B virus genotype C subtype ayr",0.996677740863787,1.01408450704225,1.19246861924686,0.427939006394491
"31","UP000000518","Hepatitis C virus genotype 1a",1,0.993377483443709,1.12054329371817,0.39783632873844
"32","UP000006675","Hepatitis delta virus genotype I",1,1,0.817438692098093,0.638026371756699
"33","UP000006705","Hepatitis E virus genotype 1",1,0.961538461538461,0.932896890343699,0.454644570431749
"34","UP000007407","Hepatitis B virus genotype G",1,1.05095541401274,1.07142857142857,0.523515641625878
"35","UP000111173","Horsepox virus",13.5,28.6624203821656,8.61097620203983,0.826182648910681
"36","UP000008167","Human adenovirus C serotype 2",1.82108626198083,1.20448179271709,0.406843313165032,0.226786825796325
"37","UP000001650","Human astrovirus-1",1,1.2,1.48584905660377,0.559350193834226
"38","UP000006716","Human coronavirus 229E (HCoV-229E)",1,1,1.62650602409639,0.6413924654268
"39","UP000000938","Human cytomegalovirus (Merlin)",0.641573994867408,0.0567877629063098,0.0336171108838217,0.0522016234030122
"40","UP000143570","Human enterovirus D68",1,1,0.993975903614458,0.566893424036281
"41","UP000008683","Human enterovirus 70",1,1,1.01226993865031,0.590050134978789
"42","UP000009294","Human herpesvirus 1 (strain 17)",7.13355048859935,2.8436018957346,0.563007746079728,0.242488943114229
"43","UP000001874","Human herpesvirus 2 (strain HG52)",0.974025974025974,3.18327974276527,0.418184101469296,0.233710641231901
"44","UP000009295","Human herpesvirus 6A",1.57046979865772,1.18598382749326,0.550124033270101,0.288300946422417
"45","UP000009246","Human herpesvirus 7",1,1.61392405063291,1.01123595505618,0.497154649490338
"46","UP000000942","Human herpesvirus 8 type P",0.0252084545278263,0.00959215574818815,0.00716022408202628,0.0164941983163742
"47","UP000006930","Human herpesvirus 6B (strain Z29)",1.5,10.7462686567164,3.36183618361836,0.388492555831266
"48","UP000002241","Human immunodeficiency virus type 1 group M subtype B",1,1,0.79155672823219,0.481450604418508
"49","UP000002242","Human immunodeficiency virus type 2 subtype A",1,0.983606557377049,1.12648221343874,0.518187360292623
"50","UP000006372","Human papillomavirus 1",1,1,1.03703703703704,0.704879938032533
"51","UP000007710","Human papillomavirus 2a",1,1,0.871670702179177,0.593652037617555
"52","UP000009251","Human papillomavirus type 16",1,1,0.810810810810811,0.343106674984404
"53","UP000009109","Human papillomavirus type 18",1,0.993377483443709,0.859375,0.346892422052447
"54","UP000109776","Human parainfluenza type 1 strain Washington/1964",1,1,1.08597285067873,0.510997854077253
"55","UP000006624","Human parvovirus B19",1,1,1.11428571428571,0.695957820738137
