"","query_seqname","mismatches","count","Proteome ID","PLength"
"1","sp|D5SGZ8|AAP_AAV2S",0,2,"UP000180764",204
"2","sp|D5SGZ8|AAP_AAV2S",1,47,"UP000180764",204
"3","sp|D5SGZ8|AAP_AAV2S",2,145,"UP000180764",204
"4","sp|D5SGZ8|AAP_AAV2S",3,3,"UP000180764",204
"5","sp|P03132|REP68_AAV2S",0,1,"UP000180764",536
"6","sp|P03132|REP68_AAV2S",1,79,"UP000180764",536
"7","sp|P03132|REP68_AAV2S",2,435,"UP000180764",536
"8","sp|P03132|REP68_AAV2S",3,14,"UP000180764",536
"9","sp|P03135|CAPSD_AAV2S",1,131,"UP000180764",735
"10","sp|P03135|CAPSD_AAV2S",2,578,"UP000180764",735
"11","sp|P03135|CAPSD_AAV2S",3,19,"UP000180764",735
"12","sp|Q89268|REP78_AAV2S",0,1,"UP000180764",621
"13","sp|Q89268|REP78_AAV2S",1,89,"UP000180764",621
"14","sp|Q89268|REP78_AAV2S",2,502,"UP000180764",621
"15","sp|Q89268|REP78_AAV2S",3,22,"UP000180764",621
"16","sp|Q89269|REP40_AAV2S",0,1,"UP000180764",312
"17","sp|Q89269|REP40_AAV2S",1,36,"UP000180764",312
"18","sp|Q89269|REP40_AAV2S",2,256,"UP000180764",312
"19","sp|Q89269|REP40_AAV2S",3,12,"UP000180764",312
"20","sp|Q89270|REP52_AAV2S",0,1,"UP000180764",397
"21","sp|Q89270|REP52_AAV2S",1,45,"UP000180764",397
"22","sp|Q89270|REP52_AAV2S",2,324,"UP000180764",397
"23","sp|Q89270|REP52_AAV2S",3,20,"UP000180764",397
"24","sp|O91464|POLG_AIVA8",0,9,"UP000119554",2432
"25","sp|O91464|POLG_AIVA8",1,501,"UP000119554",2432
"26","sp|O91464|POLG_AIVA8",2,1853,"UP000119554",2432
"27","sp|O91464|POLG_AIVA8",3,62,"UP000119554",2432
"28","sp|Q9QSP0|L_ABLVB",0,4,"UP000006934",2128
"29","sp|Q9QSP0|L_ABLVB",1,402,"UP000006934",2128
"30","sp|Q9QSP0|L_ABLVB",2,1671,"UP000006934",2128
"31","sp|Q9QSP0|L_ABLVB",3,44,"UP000006934",2128
"32","sp|Q9QSP1|GLYCO_ABLVB",0,1,"UP000006934",525
"33","sp|Q9QSP1|GLYCO_ABLVB",1,94,"UP000006934",525
"34","sp|Q9QSP1|GLYCO_ABLVB",2,399,"UP000006934",525
"35","sp|Q9QSP1|GLYCO_ABLVB",3,24,"UP000006934",525
"36","sp|Q9QSP2|MATRX_ABLVB",1,34,"UP000006934",212
"37","sp|Q9QSP2|MATRX_ABLVB",2,160,"UP000006934",212
"38","sp|Q9QSP2|MATRX_ABLVB",3,11,"UP000006934",212
"39","sp|Q9QSP3|PHOSP_ABLVB",0,1,"UP000006934",297
"40","sp|Q9QSP3|PHOSP_ABLVB",1,66,"UP000006934",297
"41","sp|Q9QSP3|PHOSP_ABLVB",2,222,"UP000006934",297
"42","sp|Q9QSP3|PHOSP_ABLVB",3,1,"UP000006934",297
"43","sp|Q9QSP4|NCAP_ABLVB",1,82,"UP000006934",450
"44","sp|Q9QSP4|NCAP_ABLVB",2,352,"UP000006934",450
"45","sp|Q9QSP4|NCAP_ABLVB",3,9,"UP000006934",450
"46","sp|Q9INI1|NS2_BAVJK",0,2,"UP000000832",425
"47","sp|Q9INI1|NS2_BAVJK",1,62,"UP000000832",425
"48","sp|Q9INI1|NS2_BAVJK",2,340,"UP000000832",425
"49","sp|Q9INI1|NS2_BAVJK",3,14,"UP000000832",425
"50","sp|Q9INI2|NS1_BAVJK",0,2,"UP000000832",508
"51","sp|Q9INI2|NS1_BAVJK",1,90,"UP000000832",508
"52","sp|Q9INI2|NS1_BAVJK",2,402,"UP000000832",508
"53","sp|Q9INI2|NS1_BAVJK",3,7,"UP000000832",508
"54","sp|Q9INI3|VP4_BAVJK",1,106,"UP000000832",576
"55","sp|Q9INI3|VP4_BAVJK",2,440,"UP000000832",576
"56","sp|Q9INI3|VP4_BAVJK",3,23,"UP000000832",576
"57","sp|Q9INI4|VP3_BAVJK",0,2,"UP000000832",720
"58","sp|Q9INI4|VP3_BAVJK",1,123,"UP000000832",720
